time,temperature_2m
2025-09-28T00:00,23.1
2025-09-28T01:00,24.0
2025-09-28T02:00,24.6
2025-09-28T03:00,24.4
2025-09-28T04:00,24.4
2025-09-28T05:00,24.5
2025-09-28T06:00,23.9
2025-09-28T07:00,23.5
2025-09-28T08:00,22.8
2025-09-28T09:00,21.6
2025-09-28T10:00,21.4
2025-09-28T11:00,21.5
2025-09-28T12:00,21.6
2025-09-28T13:00,21.5
2025-09-28T14:00,21.1
2025-09-28T15:00,21.1
2025-09-28T16:00,21.5
2025-09-28T17:00,21.6
2025-09-28T18:00,21.4
2025-09-28T19:00,21.0
2025-09-28T20:00,20.9
2025-09-28T21:00,22.4
2025-09-28T22:00,23.2
2025-09-28T23:00,23.6
2025-09-29T00:00,23.9
2025-09-29T01:00,24.4
2025-09-29T02:00,25.0
2025-09-29T03:00,25.9
2025-09-29T04:00,27.0
2025-09-29T05:00,27.0
2025-09-29T06:00,26.8
2025-09-29T07:00,26.2
2025-09-29T08:00,25.2
2025-09-29T09:00,24.5
2025-09-29T10:00,23.9
2025-09-29T11:00,22.9
2025-09-29T12:00,21.4
2025-09-29T13:00,20.5
2025-09-29T14:00,19.6
2025-09-29T15:00,19.5
2025-09-29T16:00,19.8
2025-09-29T17:00,19.6
2025-09-29T18:00,19.1
2025-09-29T19:00,18.6
2025-09-29T20:00,18.1
2025-09-29T21:00,18.5
2025-09-29T22:00,19.5
2025-09-29T23:00,20.7
2025-09-30T00:00,21.4
2025-09-30T01:00,21.8
2025-09-30T02:00,22.4
2025-09-30T03:00,22.9
2025-09-30T04:00,22.9
2025-09-30T05:00,22.7
2025-09-30T06:00,22.4
2025-09-30T07:00,21.8
2025-09-30T08:00,20.6
2025-09-30T09:00,19.5
2025-09-30T10:00,19.1
2025-09-30T11:00,19.0
2025-09-30T12:00,19.0
2025-09-30T13:00,18.9
2025-09-30T14:00,18.8
2025-09-30T15:00,18.8
2025-09-30T16:00,18.6
2025-09-30T17:00,18.2
2025-09-30T18:00,18.0
2025-09-30T19:00,18.0
2025-09-30T20:00,18.5
2025-09-30T21:00,18.8
2025-09-30T22:00,19.5
2025-09-30T23:00,20.4
2025-10-01T00:00,20.6
2025-10-01T01:00,21.0
2025-10-01T02:00,19.5
2025-10-01T03:00,19.4
2025-10-01T04:00,19.0
2025-10-01T05:00,19.4
2025-10-01T06:00,19.1
2025-10-01T07:00,26.0
2025-10-01T08:00,24.6
2025-10-01T09:00,23.5
2025-10-01T10:00,23.0
2025-10-01T11:00,22.3
2025-10-01T12:00,21.3
2025-10-01T13:00,20.8
2025-10-01T14:00,20.4
2025-10-01T15:00,20.0
2025-10-01T16:00,19.8
2025-10-01T17:00,19.6
2025-10-01T18:00,19.4
2025-10-01T19:00,18.9
2025-10-01T20:00,18.4
2025-10-01T21:00,18.6
2025-10-01T22:00,20.2
2025-10-01T23:00,22.5
2025-10-02T00:00,24.5
2025-10-02T01:00,26.1
2025-10-02T02:00,27.4
2025-10-02T03:00,28.0
2025-10-02T04:00,27.7
2025-10-02T05:00,26.7
2025-10-02T06:00,25.7
2025-10-02T07:00,24.7
2025-10-02T08:00,23.7
2025-10-02T09:00,22.9
2025-10-02T10:00,22.5
2025-10-02T11:00,22.4
2025-10-02T12:00,22.3
2025-10-02T13:00,21.9
2025-10-02T14:00,21.4
2025-10-02T15:00,21.1
2025-10-02T16:00,20.9
2025-10-02T17:00,20.8
2025-10-02T18:00,20.8
2025-10-02T19:00,20.7
2025-10-02T20:00,20.7
2025-10-02T21:00,21.1
2025-10-02T22:00,22.0
2025-10-02T23:00,23.3
2025-10-03T00:00,24.2
2025-10-03T01:00,24.7
2025-10-03T02:00,24.9
2025-10-03T03:00,24.9
2025-10-03T04:00,24.7
2025-10-03T05:00,24.3
2025-10-03T06:00,24.0
2025-10-03T07:00,22.3
2025-10-03T08:00,21.6
2025-10-03T09:00,21.1
2025-10-03T10:00,20.8
2025-10-03T11:00,20.6
2025-10-03T12:00,20.4
2025-10-03T13:00,20.3
2025-10-03T14:00,20.3
2025-10-03T15:00,20.3
2025-10-03T16:00,20.3
2025-10-03T17:00,20.2
2025-10-03T18:00,20.3
2025-10-03T19:00,20.4
2025-10-03T20:00,20.5
2025-10-03T21:00,20.6
2025-10-03T22:00,20.7
2025-10-03T23:00,20.9
2025-10-04T00:00,21.0
2025-10-04T01:00,21.1
2025-10-04T02:00,21.2
2025-10-04T03:00,21.3
2025-10-04T04:00,21.1
2025-10-04T05:00,20.9
2025-10-04T06:00,20.7
2025-10-04T07:00,20.7
2025-10-04T08:00,20.8
2025-10-04T09:00,21.0
2025-10-04T10:00,21.3
2025-10-04T11:00,21.7
2025-10-04T12:00,21.9
2025-10-04T13:00,22.0
2025-10-04T14:00,22.0
2025-10-04T15:00,21.9
2025-10-04T16:00,21.7
2025-10-04T17:00,21.5
2025-10-04T18:00,21.3
2025-10-04T19:00,21.2
2025-10-04T20:00,21.2
2025-10-04T21:00,21.5
2025-10-04T22:00,22.1
2025-10-04T23:00,23.0
